timestamp,cpu_usage
2026-05-25 14:26:10,0.2
2026-05-25 14:26:25,0.2
2026-05-25 14:26:40,5.0
2026-05-25 14:26:55,17.4
2026-05-25 14:27:10,27.8
2026-05-25 14:27:25,34.5
2026-05-25 14:27:39,41.5
2026-05-25 14:27:54,37.8
2026-05-25 14:28:09,40.1
2026-05-25 14:28:24,43.3
2026-05-25 14:28:39,39.4
2026-05-25 14:28:54,43.1
2026-05-25 14:29:09,37.7
2026-05-25 14:29:24,28.0
2026-05-25 14:29:39,24.4
2026-05-25 14:29:54,20.4
2026-05-25 14:30:09,13.2
2026-05-25 14:30:24,20.1
2026-05-25 14:30:39,16.1
2026-05-25 14:30:54,7.6
2026-05-25 14:31:09,7.8
2026-05-25 14:31:23,0.8
2026-05-25 14:31:38,0.2
2026-05-25 14:31:53,0.2
2026-05-25 14:32:08,0.0
2026-05-25 14:32:23,0.2
2026-05-25 14:32:38,0.2
2026-05-25 14:32:53,0.2
2026-05-25 14:33:08,0.2
